Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),Automation Risk 2020 (%),Automation Risk 2021 (%),Automation Risk 2022 (%),Automation Risk 2023 (%),Automation Risk 2024 (%)
Risk manager,IT,Increasing,Moderate,54937.19,High School,10,6872,2619,25.13,98.3,China,28.15,93.69,91.56,94.45,100,93.17
Youth worker,Manufacturing,Decreasing,High,110472.77,Associate Degree,3,4232,2368,95.97,85.69,Germany,36.53,81.99,79.93,82.69,88.81,85.43
Recycling officer,IT,Increasing,Moderate,68625.46,PhD,12,103,8879,99.67,31.94,Brazil,57.07,24.55,22.6,29.27,30.53,35.76
Travel agency manager,Transportation,Decreasing,High,140291.84,Master’s Degree,7,5362,2577,55.41,68.83,China,69.32,61.23,64.41,65.82,71.85,67.19
"Teacher, secondary school",Entertainment,Decreasing,High,132906.71,High School,12,8912,3043,94.05,84.35,China,55.72,78.97,81.6,81.2,79.95,83.83
Manufacturing engineer,Entertainment,Increasing,Moderate,109781.19,Master’s Degree,10,7670,3918,80.54,77.15,India,32.95,76.25,69.23,74.66,72.48,80.71
Community pharmacist,Manufacturing,Increasing,Moderate,90408.82,High School,6,5240,4210,90.61,13.4,China,74.61,6.5,9.14,11.72,14.78,12.47
Tour manager,Entertainment,Increasing,Low,140099.43,Bachelor’s Degree,15,4340,9431,38.25,66.65,China,74.5,61.21,70.43,59.48,57.56,67.49
Quantity surveyor,Healthcare,Decreasing,Moderate,68263.29,Associate Degree,10,2507,8989,51.17,29.29,Germany,72.84,25.1,24.46,29.17,28.67,27.35
Publishing rights manager,Finance,Decreasing,Moderate,80883.54,Associate Degree,4,5986,4880,39.83,48.48,Brazil,31.23,38.7,46.26,46.8,45.79,52.74
Meteorologist,Education,Decreasing,Moderate,71383.18,Bachelor’s Degree,14,4574,6529,94.79,57.51,China,30.94,51.56,50.59,53.78,56.36,57.79
Volunteer coordinator,Retail,Decreasing,Moderate,113666.81,PhD,20,8957,9590,50.64,64.08,UK,76.18,58.75,61.68,57.1,67.22,62.9
Musician,Transportation,Decreasing,Moderate,130024.39,Associate Degree,3,7274,9294,73.46,84.23,India,43.97,83.73,81.61,83.07,84.52,85.03
"Sales professional, IT",Manufacturing,Increasing,High,62876.3,Master’s Degree,20,1271,3010,94.16,17.6,China,30.86,13.7,16.14,14.88,16.96,16.38
Retail banker,Entertainment,Increasing,Moderate,46069.15,Master’s Degree,16,5443,7004,73.4,84.6,Australia,62.57,85.42,77.87,88.87,82.44,77.82
Games developer,Healthcare,Decreasing,High,99597.5,Bachelor’s Degree,17,2428,7840,58.46,62.17,Canada,55.81,58.7,56.76,62.66,58.41,59.89
"Accountant, chartered",Finance,Decreasing,Moderate,85551.09,Bachelor’s Degree,11,5257,9137,15.02,4.84,China,49.9,0,0,0,0,4.89
"Teacher, primary school",IT,Decreasing,Moderate,78732.58,Bachelor’s Degree,14,2830,9661,56.16,92.38,India,77.44,88.24,88.2,83.75,89.18,90.86
IT sales professional,IT,Increasing,Low,96283.6,Associate Degree,18,5754,2434,94.27,35.21,India,44.54,27,34.85,34.3,32.55,34.23
Theatre stage manager,Manufacturing,Decreasing,Moderate,89456.87,Master’s Degree,12,8086,4981,93.93,22.39,Brazil,42.09,18.84,14.76,19.45,19.31,19.41
Museum/gallery curator,IT,Increasing,Low,134691.05,PhD,19,3828,6111,23.21,17.78,USA,65.8,11.96,17.24,15.93,14.52,17.89
Petroleum engineer,Healthcare,Decreasing,Moderate,47291.39,PhD,4,9874,8279,44.42,36.64,India,39.32,37.28,36.64,34.99,33.76,37.85
Health service manager,Education,Increasing,Moderate,109893.39,Associate Degree,7,2214,3221,52.37,98.7,India,60.35,97.96,100,100,100,95.81
Planning and development surveyor,Finance,Decreasing,High,120998.27,PhD,7,9965,5384,73.99,70.91,Canada,59.41,67.89,65.39,73.76,65.29,75.65
Estate agent,Manufacturing,Decreasing,High,129191.86,Bachelor’s Degree,19,5930,1998,19.42,29.27,USA,38.27,24.54,23.56,25,26.43,29.24
"Scientist, research (life sciences)",Manufacturing,Decreasing,Moderate,30183.23,High School,13,1702,3499,53.44,32.95,China,36.23,30.25,28.32,30.49,36.68,36.45
"Surveyor, mining",Transportation,Increasing,High,133839.11,Bachelor’s Degree,3,4087,6573,77.49,97.02,USA,21.32,92.44,91.99,93.65,97.13,91.21
"Producer, radio",IT,Increasing,Moderate,149177.06,Bachelor’s Degree,2,6372,7684,91.13,96.09,Brazil,22.37,87.46,82.78,93.34,95.93,92.47
"Engineer, materials",Healthcare,Decreasing,High,128939.27,Bachelor’s Degree,3,4674,940,90.24,35.11,Australia,69.63,35.23,28.86,29.03,34.12,37
"Surveyor, insurance",Transportation,Decreasing,High,34467.8,PhD,11,8595,2356,90.03,73.46,UK,48.23,73.2,66.56,73.56,70.72,71.52
Ceramics designer,Transportation,Increasing,Low,48498.17,Master’s Degree,10,166,4234,31.04,59.56,China,24.35,58.96,58.9,52.28,63.01,63.4
Public librarian,Manufacturing,Decreasing,High,112694.29,Bachelor’s Degree,0,7127,786,41.21,38.49,Germany,31.11,31.63,35.38,36.68,37.1,35.99
Drilling engineer,Finance,Decreasing,Moderate,117168.13,Master’s Degree,19,1803,6270,14.21,64.99,UK,73.77,56.67,60.1,65.44,64.47,62.51
Economist,IT,Increasing,Low,85839.95,Master’s Degree,7,370,8428,16.21,20.95,USA,24.91,17.34,10.69,20.25,15.15,19.13
Electronics engineer,Entertainment,Decreasing,Moderate,41568.32,Associate Degree,7,1641,8446,9.91,20.58,India,48.74,13.21,13.84,20.04,17.59,20.31
Farm manager,Healthcare,Decreasing,Moderate,122482.55,Bachelor’s Degree,18,6336,9949,25.45,87.64,Australia,69.66,84.45,87.21,86.16,81.14,91.15
Location manager,Transportation,Increasing,Low,128987.36,High School,10,316,6617,43.49,87.46,UK,71.1,81.92,78.24,83.59,92.25,90.27
Amenity horticulturist,Education,Increasing,High,144279.99,High School,6,581,6806,16.19,11.67,Germany,71.64,7.77,8.42,9.12,14.21,11.73
Special educational needs teacher,Education,Increasing,Low,103008.1,Bachelor’s Degree,20,9655,8179,14.69,97.36,Brazil,23.19,97.51,100,97.37,95.51,96.14
Mental health nurse,Education,Decreasing,High,63364.07,PhD,8,9737,3603,51.88,81.05,Brazil,24.48,77.52,78.3,81.96,79.95,83.28
Hydrologist,Transportation,Increasing,Low,106420.71,Bachelor’s Degree,20,6636,6527,1.66,49.82,Canada,40.94,46.08,47.26,41.74,51.16,50.16
Bonds trader,Manufacturing,Increasing,Moderate,129374.84,Associate Degree,18,7815,9402,75.29,70.53,India,79.53,70.14,56.86,75.68,68.43,73.74
Product manager,Healthcare,Increasing,Low,123066.75,PhD,2,9481,4889,56,63.09,China,22.03,57.46,63.49,58.26,60.13,69.16
"Production assistant, television",Entertainment,Increasing,Low,109282.35,Associate Degree,3,994,1417,24.76,4.89,China,55.65,1.08,2.45,4.22,4.31,4.44
Minerals surveyor,Finance,Increasing,Moderate,49382.62,Bachelor’s Degree,1,3742,4073,79.82,91.02,India,38.2,86.56,96.39,87.18,89.47,94.26
"Engineer, chemical",Finance,Increasing,Moderate,66741.46,Master’s Degree,13,2992,3517,62.79,5.14,Canada,46.21,0.97,2.3,2.6,0.85,6.64
Environmental health practitioner,Healthcare,Increasing,Low,99117.62,High School,18,765,3065,85.55,40.52,Germany,77.9,35.31,39.66,37.21,39.51,40.99
Investment analyst,Entertainment,Increasing,Low,130282.87,Master’s Degree,14,3230,2863,37.1,84.85,Brazil,33.92,82.65,83.76,89.28,85.28,83.16
Media buyer,Healthcare,Increasing,High,104463.36,PhD,4,4375,6430,31.99,89.55,China,37.56,89.69,91.41,82.07,90.49,91.71
Aeronautical engineer,IT,Decreasing,Moderate,49214.16,PhD,8,419,6273,77.76,32.14,Canada,75.99,23.91,29.53,27.27,29.45,30.21
"Teacher, early years/pre",Healthcare,Decreasing,Low,123289.32,Master’s Degree,18,6949,1766,10.19,40.26,Germany,67.83,38.2,35.61,35.1,43.74,37.55
"Librarian, public",Entertainment,Increasing,Moderate,40138.82,High School,14,4461,3641,18.31,81.81,USA,53.25,72.89,69.29,76.28,74.58,87.3
"Scientist, product/process development",Healthcare,Increasing,Low,88443.27,PhD,16,121,8613,5.53,15.39,Germany,55.01,15.27,12.36,18.55,16.48,14.33
Civil Service fast streamer,Transportation,Increasing,Moderate,127590.49,Associate Degree,5,1028,2850,80.8,86.4,Australia,64.9,71.17,91.77,77.71,77.67,89.58
Hospital doctor,Retail,Increasing,Low,68766.22,Master’s Degree,4,2402,6663,72.03,98.8,China,29.92,100,100,99.43,100,100
Aid worker,IT,Increasing,High,65837.11,Bachelor’s Degree,3,9480,7096,96.22,20.69,Canada,23.03,12.55,13.49,15.06,16.66,17.14
Chartered accountant,Manufacturing,Increasing,Low,50235.18,Bachelor’s Degree,20,8311,9401,86.15,63.28,Australia,31.36,59.53,55.29,61.27,58.8,58.97
Chiropodist,Healthcare,Increasing,Low,85545.38,Master’s Degree,8,1744,2315,93.73,37.04,USA,31.73,35.41,38.99,38.18,32.1,34.04
Chief of Staff,Manufacturing,Decreasing,Moderate,98958.74,Bachelor’s Degree,17,7923,1834,98.04,67.52,USA,46,66.84,60.86,64.33,67.86,63.31
Environmental health practitioner,Healthcare,Increasing,High,142616.86,Bachelor’s Degree,8,8830,7825,0.06,37.76,Australia,63.4,34.14,31.13,33.84,37.04,32.79
"Scientist, biomedical",Retail,Decreasing,Low,125383.44,Associate Degree,0,618,8944,93.99,40.74,USA,61.43,38.79,38.17,40.35,40.09,43.82
"Designer, fashion/clothing",Healthcare,Decreasing,Low,113297.32,Associate Degree,8,9548,7281,82.78,79.61,USA,27.5,78,76.26,78.83,80.88,79.38
Information systems manager,Transportation,Increasing,High,113991.59,Associate Degree,12,7530,390,69.98,87.79,USA,71.88,81.46,79.69,81.15,79.39,93.72
Broadcast presenter,Finance,Increasing,Low,76181.86,High School,6,6281,7520,49.96,12.27,Brazil,20.76,5.75,7.62,8.41,12.26,10.88
Physiotherapist,Finance,Increasing,Low,54341.13,Associate Degree,17,6967,6939,69.48,10.07,Germany,44.41,8.12,5.5,8.05,6.88,13.1
Aid worker,Healthcare,Increasing,Moderate,77429.82,High School,19,3023,7599,42.83,81.12,UK,55.33,73.45,79.94,81.81,81.55,79.79
Oceanographer,Manufacturing,Increasing,High,70841.05,Bachelor’s Degree,11,4046,1708,37.3,7.09,Australia,33.01,1.67,3.01,3.72,6.66,9.84
Interior and spatial designer,IT,Increasing,Low,94442.2,Master’s Degree,12,7885,4787,92.82,8.66,USA,68.68,2.43,2.05,5.35,11.1,6.2
Clinical biochemist,Entertainment,Increasing,Moderate,68850.84,High School,9,9336,8675,35.99,17.15,Australia,69.08,15.45,16.53,13.03,16.3,19.43
"Engineer, manufacturing systems",Transportation,Decreasing,High,149781.35,PhD,8,331,9524,68.44,76.12,China,37.94,68.19,70.15,70.02,69.68,72.36
Charity officer,Education,Increasing,Moderate,77432.87,High School,3,152,5053,13.01,80.8,India,53.82,73.5,78.93,76.28,80.72,74.19
Tax inspector,Education,Decreasing,Low,144115.67,Bachelor’s Degree,3,5237,2017,96.21,85.85,Canada,49.69,85.45,87.85,76.67,86.67,90.5
"Journalist, newspaper",Education,Decreasing,Low,95081.03,Associate Degree,15,2526,5731,52.5,74.24,India,23.16,67.98,79.07,74.75,70.91,73.68
Commissioning editor,Retail,Increasing,High,47537.77,Bachelor’s Degree,6,4198,7195,2.01,70.85,India,65.91,67.02,66.45,69.29,65.17,70.29
IT sales professional,Healthcare,Increasing,Low,130970.36,High School,16,4177,5593,17.66,37.95,Australia,21.92,32.12,35.98,34.31,35.17,40.79
"Engineer, civil (consulting)",Healthcare,Increasing,Low,59210.07,PhD,12,3200,4919,32.7,71.96,Canada,64.95,73.85,72.51,66.7,69.96,75.98
Counselling psychologist,Healthcare,Increasing,Moderate,72058.61,PhD,2,7485,6442,87.66,37.7,Brazil,30.52,35.07,41.4,36.93,37.01,36.29
"Engineer, manufacturing systems",Finance,Increasing,Moderate,109356.55,Master’s Degree,10,9596,9947,93.72,32.66,China,75.6,26.99,27.48,30.82,32.63,29.51
Community pharmacist,Entertainment,Decreasing,Low,142963.7,High School,16,8857,5261,56.22,13.86,India,31.9,7.81,7.54,12.73,10.35,9.04
Automotive engineer,Healthcare,Decreasing,High,109415.32,PhD,1,8244,2582,3.67,70.81,USA,22.04,68.32,76.73,68.45,72.29,70.33
Acupuncturist,IT,Increasing,High,117834.71,PhD,6,6486,2155,75.96,65.79,Canada,47.88,55.7,61.18,58.93,62.82,64.96
"Teacher, music",Manufacturing,Decreasing,Low,145798.12,Bachelor’s Degree,4,2141,8092,15.59,41.89,Brazil,57.73,37.25,42.38,39.73,38.69,42.81
Electrical engineer,Education,Increasing,Moderate,57580.63,Associate Degree,4,2067,8768,71.18,66.32,UK,22.9,60.68,64.42,64.79,69.11,67.48
Theatre manager,Manufacturing,Increasing,High,44557.58,Bachelor’s Degree,7,8600,8451,49.05,83.13,Brazil,65.64,77.83,82.24,85.56,83.28,82.13
Sales promotion account executive,Finance,Decreasing,Low,34014.29,Bachelor’s Degree,4,9153,4251,72.94,70.21,India,48.75,61.28,63.01,66.59,66.33,68.7
Multimedia programmer,Entertainment,Increasing,Low,56135.47,Associate Degree,4,1229,7369,66.08,21.61,USA,23.48,18.23,19.95,19.36,21.26,21.05
Theatre manager,Entertainment,Increasing,High,91977.75,PhD,3,4837,6074,33.76,25.2,China,54.17,14.24,17.88,20.97,19.87,25.25
Health promotion specialist,Transportation,Increasing,Low,82613.9,Master’s Degree,19,8168,247,94.57,80.17,USA,78.47,82.65,82.13,77.24,84.59,80.05
Mechanical engineer,Healthcare,Decreasing,High,139546.53,Master’s Degree,2,8634,6057,20.93,36.43,India,23.45,31.66,31.72,33.31,33.86,36.09
Public relations officer,Healthcare,Decreasing,Moderate,114687.7,High School,17,1573,4576,39.34,59.74,USA,32.08,57.27,57.35,59.38,62.46,62.27
Television production assistant,Healthcare,Decreasing,High,116137.46,Master’s Degree,20,6994,7015,90.45,94.18,Canada,72.82,83.86,80.01,95.88,86.71,92.43
Surgeon,Transportation,Decreasing,High,53663.8,High School,17,4610,349,46.16,53.06,India,43.59,42.94,42.29,50.83,52.81,49.98
Clinical psychologist,Education,Decreasing,High,65559.22,Associate Degree,8,3836,7536,98.5,44.05,Australia,70.7,33.49,39.91,43.21,38.58,43.92
"Buyer, industrial",Entertainment,Decreasing,Low,97707.95,Associate Degree,19,3744,7692,80.78,8.84,India,33.25,5.31,7.06,6.95,5.72,10.25
Geochemist,Finance,Decreasing,Low,125897.7,Master’s Degree,14,2633,6432,9.43,12.37,Germany,51.42,7.87,8.96,8.1,9.86,9.87
"Designer, jewellery",Transportation,Decreasing,Moderate,112131.52,High School,0,224,8836,66.38,49.41,USA,28.07,43.89,50.51,42.32,42.6,52.8
Psychiatrist,Education,Increasing,Moderate,62451.48,Bachelor’s Degree,7,888,1424,56.65,60.73,USA,57.72,57.53,56.51,62.68,57.72,66.3
"Surveyor, land/geomatics",Entertainment,Increasing,Moderate,40789.83,Associate Degree,0,9761,5197,34.55,4.13,USA,41.54,0.23,0,4.63,1.15,4.34
Health and safety inspector,Finance,Decreasing,High,80088.65,PhD,1,2618,8552,42.17,85.67,China,32.31,79.09,84.73,87.35,82.68,81.04
Hydrogeologist,Transportation,Decreasing,Moderate,136572.76,Associate Degree,9,3166,1962,95.26,2.92,Canada,71.56,0,0,3.12,1.14,1.34
Professor Emeritus,Education,Decreasing,Low,97488.67,High School,15,6982,2981,64.6,50.43,Canada,78.54,49.24,44.97,46.45,53.35,48.1
Systems developer,Healthcare,Decreasing,High,41201.94,High School,10,4649,7882,14.39,51.91,Brazil,22.4,44.81,50.43,53.2,52.55,54.18
"Civil engineer, contracting",Education,Decreasing,Low,131949.79,Associate Degree,10,2686,5686,55.48,60.19,China,54.35,55.94,54.09,64.1,58.42,59.01
Psychotherapist,Education,Increasing,High,79089.3,PhD,15,7630,8829,34.24,73.65,Australia,31.35,75.33,73.11,73.39,80.38,70.61
Economist,Retail,Decreasing,Low,34690.02,Associate Degree,11,2224,4485,94.27,88.99,USA,75.8,89.71,86.71,88.22,94.1,90.48
Social worker,Transportation,Increasing,Low,48640.55,PhD,9,9839,2285,84.16,86.6,USA,42.18,85.31,88.2,83,81.76,81.62
Materials engineer,Education,Increasing,High,107480.14,Associate Degree,9,8209,9061,3.82,54.8,Brazil,42.87,45.37,58.66,49.38,52.8,53.28
Economist,Healthcare,Decreasing,Low,95776.98,PhD,9,9570,2719,67.1,83,USA,68.78,82.13,84.57,85.17,79.83,81.91
Ecologist,IT,Decreasing,Low,72609.75,High School,11,1667,1006,48.97,74.45,UK,72.09,70.26,69.32,77.3,74.18,76.14
"Surveyor, mining",Healthcare,Increasing,Low,112087.25,Master’s Degree,0,1719,9407,24.92,55.04,UK,33.86,55.03,57.06,54.35,50.11,55.88
"Engineer, maintenance (IT)",Entertainment,Decreasing,Moderate,139712.5,Master’s Degree,10,170,8989,39.05,82.25,USA,24.96,74.67,76.15,81.58,85.16,81.33
"Producer, television/film/video",Manufacturing,Decreasing,Low,77192.8,Bachelor’s Degree,5,8599,5317,6.09,89.44,Australia,68.48,87.93,94.32,88.77,99.2,91.25
Building surveyor,Transportation,Increasing,Low,62828.37,Bachelor’s Degree,6,4099,6401,79.93,71.86,USA,29.77,61.92,71.81,71.15,75.18,73.62
Radio broadcast assistant,Retail,Decreasing,High,51791.67,PhD,1,8219,8073,84.11,13.02,Brazil,23.01,6.91,6.03,9.11,9.07,10.75
Lexicographer,Entertainment,Increasing,Low,55760.02,Associate Degree,12,503,1346,67.15,96.86,Australia,75.13,95.95,100,96.5,90.19,98.12
"Research officer, political party",Education,Decreasing,High,59454.94,High School,19,6704,5261,0.23,8.69,India,56.43,7.55,5.02,6.5,7.42,6.66
Educational psychologist,Finance,Increasing,Moderate,42488.01,Associate Degree,5,402,6340,51.41,83.34,USA,53.99,79.93,78.06,81.42,77.39,80.39
Comptroller,IT,Decreasing,High,77281.53,Master’s Degree,5,2875,7619,18.72,2.01,Canada,60.24,0,0,0,0,0.41
"Lecturer, higher education",Manufacturing,Decreasing,High,137571.97,Master’s Degree,9,1122,3444,69.87,86.68,China,64.01,85.3,76.7,76.34,78.34,90.82
Probation officer,Finance,Decreasing,High,130153.62,Bachelor’s Degree,18,6479,5918,5.12,50.34,India,77.22,40.88,51.8,43.96,47.78,53.42
Science writer,Transportation,Decreasing,Moderate,113793.89,Master’s Degree,16,7508,2627,63.25,76.79,USA,26.47,79.42,80.63,78.39,78.69,78.04
"Sound technician, broadcasting/film/video",Manufacturing,Increasing,Moderate,107858.12,Associate Degree,4,1568,2277,45.49,8.58,Australia,29.3,5.95,4.41,4.74,6.97,7.48
Exercise physiologist,Manufacturing,Decreasing,Moderate,38098.44,PhD,15,4561,9745,29.47,65,China,21.37,59.44,64.2,65.9,63.71,69.3
Charity fundraiser,Entertainment,Increasing,High,89396.08,PhD,13,1485,7901,21.66,27.42,UK,73.9,18.27,21.77,21.86,20.48,25.93
Volunteer coordinator,Manufacturing,Increasing,Low,64110.39,Bachelor’s Degree,8,4618,503,79.42,6.15,Australia,46.97,3.14,6.46,5.53,3.3,8.71
Sport and exercise psychologist,Transportation,Decreasing,Moderate,34634.36,High School,9,1445,8431,39.76,0.15,Canada,42.83,0,0,0,0,0
Careers information officer,IT,Increasing,Low,44616.29,Master’s Degree,0,8759,1961,21.95,78.18,USA,65.01,77.12,81.23,80.96,74.2,72.82
Illustrator,Entertainment,Decreasing,Moderate,109252.44,Master’s Degree,19,3532,2877,68.64,12.1,India,64.88,7.36,4.81,9.7,9.83,10.23
Animal nutritionist,Retail,Decreasing,Moderate,134551.61,PhD,9,2006,1499,63.25,22.5,India,48.14,14.53,20.02,18.64,18.16,15.35
Medical illustrator,Retail,Decreasing,Moderate,50387.37,High School,7,9588,3110,54.35,78.2,China,54.6,73.59,81.42,81.89,74.64,74.98
Marine scientist,Healthcare,Increasing,Low,62145.09,Bachelor’s Degree,20,908,5230,53.9,29.02,USA,67.75,28.03,24.97,28.48,30,31.51
Futures trader,Finance,Decreasing,Low,65680.54,Master’s Degree,3,4224,8820,10.11,85.45,Canada,49.52,80.84,81.26,79.36,80.41,83.69
"Teacher, English as a foreign language",Manufacturing,Decreasing,Moderate,68860.07,Associate Degree,5,1268,4689,85.42,0.96,Brazil,45.28,0,0,0,1.64,0
Occupational therapist,IT,Decreasing,High,73136.88,High School,14,4424,2717,0.5,31.59,Germany,31.24,21.79,21.96,19.81,29.85,31.44
Chief Marketing Officer,Education,Increasing,Low,41908.92,PhD,7,4748,4606,48.77,69.33,Germany,69.85,66.57,68.17,70.13,63.04,67.09
Geophysical data processor,Transportation,Decreasing,Moderate,139500.27,PhD,3,9702,8480,9.99,7.32,Brazil,63.4,3.69,1.16,4.82,2.99,7.12
"Nurse, learning disability",IT,Decreasing,High,62613.61,PhD,17,243,6694,77.06,88.97,UK,32.52,79.07,74.44,87.98,82.01,83.64
"Psychologist, occupational",Entertainment,Decreasing,Low,120206.9,Associate Degree,15,9481,2028,19.19,20.33,Australia,39.56,17.25,19.95,16.09,19.06,20.53
Dentist,Entertainment,Decreasing,Low,115182.65,Master’s Degree,14,2856,9310,6.38,14.4,Germany,53.54,12.24,11.94,11.59,11.4,13.87
Garment/textile technologist,Manufacturing,Increasing,Low,81958.04,Bachelor’s Degree,20,4340,5232,98.37,46.01,India,61.1,40.12,35.36,45.59,47.49,38.64
Editorial assistant,Education,Decreasing,Low,71644.15,High School,4,3045,1378,81.55,3.23,China,25.9,0,2.82,5.47,2.56,1.72
"Psychologist, forensic",IT,Decreasing,Low,65452.56,Bachelor’s Degree,6,4803,5188,54.95,27.81,China,47.25,22.13,26.82,23.15,23.84,25.63
Animal nutritionist,Healthcare,Increasing,High,120403.35,Associate Degree,10,1909,4486,6.5,3.78,China,46.43,0,0.86,4.06,2.74,2.59
Information officer,Entertainment,Decreasing,High,63922.67,Associate Degree,8,3749,3871,23.78,45.19,India,27.49,37.86,35.53,43.81,42.37,43.37
Chiropractor,Retail,Increasing,High,39063.23,Master’s Degree,16,7619,171,25.96,4.57,Germany,29.78,3.95,0.38,0,1.53,5.28
"Journalist, magazine",Transportation,Decreasing,Low,87747.13,Master’s Degree,5,5541,8177,11.37,59.36,China,28,56.23,51.84,60.28,55.77,64.81
Armed forces operational officer,Retail,Decreasing,High,32711.55,PhD,2,4236,7478,33.88,32.53,UK,72.52,29.35,26.74,32.19,30.36,33.47
Advertising copywriter,Transportation,Increasing,Moderate,116905.6,PhD,2,2185,4567,15.69,49.96,Canada,60.74,46.41,43.42,45.03,51.05,47.96
